95,39
94,84
83,69
69,81
34,4
28,32
47,50
47,68
32,21
63,89
2,81
28,100
75,96
90,1
1,31
23,55
18,70
33,74
96,64
34,77
31,52
40,54
45,83
17,68
8,73
66,40
4,87
10,94
20,48
40,93
48,84
84,94
77,65
63,58
1,48
78,27
54,44
30,53
9,79
100,55
52,45
75,15
31,58
8,45
88,63
27,57
13,48
8,93
84,40
87,24
89,70
54,11
87,26
18,1
58,53
17,50
88,24
88,79
0,34
88,67
40,3
38,68
22,82
93,36
27,1
7,93
66,84
25,73
58,60
25,44
62,40
90,71
36,99
85,33
81,84
45,16
19,72
66,53
26,39
73,85
83,92
43,93
59,75
27,23
42,0
22,4
33,100
80,30
77,99
78,34
51,73
7,75
90,96
72,94
88,16
85,78
9,40
46,88
47,88
50,88
86,77
16,0
14,2
73,3
30,42
12,34
48,80
31,16
5,8
38,82
64,6
71,40
11,72
86,81
30,24
29,20
56,44
93,98
6,33
59,53
73,81
15,36
31,1
19,7
65,76
2,48
6,55
11,41
75,55
12,5
23,47
19,5
81,35
40,59
76,52
0,57
57,46
5,13
43,99
27,59
48,58
70,13
30,6
48,93
40,51
13,91
64,98
69,29
47,14
100,5
11,97
85,24
98,80
26,6
36,28
24,76
79,65
26,84
49,72
59,45
87,89
33,91
48,34
1,54
22,24
10,61
43,30
46,85
47,65
17,28
50,61
10,1
73,27
20,29
34,15
44,44
23,0
8,37
71,100
25,14
13,77
43,46
38,96
1,88
85,56
87,41
36,68
8,68
33,93
37,67
35,68
89,7
93,64
5,3
71,4
24,41
75,27
98,58
36,71
74,95
21,55
52,5
34,9
95,38
13,1
26,44
100,28
2,38
18,19
36,7
21,20
62,57
42,90
74,80
81,98
86,59
89,16
81,22
34,65
71,94
39,97
70,93
90,8
95,14
11,29
4,76
43,85
66,40
93,84
17,30
90,67
56,46
38,96
72,90
12,81
73,83
77,46
28,51
64,37
77,75
20,15
82,73
31,31
26,11
39,29
20,68
39,16
2,32
43,41
40,28
0,70
13,85
3,8
50,91
94,53
50,66
46,87
81,79
39,98
15,92
99,71
0,43
27,73
34,94
53,86
73,47
85,81
82,95
64,24
61,64
79,15
61,17
43,12
20,33
46,86
96,72
62,11
20,14
95,54
1,62
82,42
70,28
34,23
43,74
80,33
38,95
22,60
77,99
56,29
17,73
44,60
41,61
61,66
78,30
95,48
88,73
64,73
1,26
70,100
100,0
95,69
33,77
20,46
81,60
15,8
12,33
75,92
62,53
29,28
16,56
75,68
10,5
97,24
34,80
70,41
95,85
54,64
83,71
62,72
69,94
72,41
79,89
81,77
99,58
91,18
19,4
7,66
41,16
8,52
32,90
54,25
74,42
14,17
76,57
9,37
33,82
17,21
24,69
38,89
39,27
91,11
3,8
1,87
83,45
66,11
42,31
36,43
4,14
91,42
29,51
49,58
67,67
5,53
35,77
85,24
19,28
62,54
24,17
85,55
85,22
85,20
88,46
55,44
71,74
4,76
9,5
92,13
17,19
83,26
100,96
79,99
99,73
36,64
96,42
26,74
94,99
97,19
95,57
65,88
49,46
43,78
91,60
46,10
79,99
37,64
69,70
7,80
24,86
2,2
95,40
59,57
90,20
64,19
88,13
13,19
18,43
55,53
25,8
26,58
88,64
12,58
13,4
51,62
58,86
1,80
18,46
40,77
77,5
26,64
6,33
86,53
12,95
61,40
92,44
29,0
74,53
32,6
56,92
50,34
29,51
6,58
79,23
24,20
79,81
20,58
18,75
91,88
46,49
42,75
39,22
11,92
37,11
22,38
68,48
76,64
73,85
77,72
0,68
23,71
93,98
1,45
45,51
68,69
31,37
16,26
21,10
29,95
86,69
20,38
32,68
23,5
49,37
95,52
10,52
95,62
76,92
99,68
52,32
90,81
11,18
52,33
84,5
81,53
25,35
50,44
12,8
69,69
25,96
3,6
25,52
81,45
20,11
82,60
19,32
55,51
0,19
100,64
9,20
56,19
9,83
97,35
91,60
67,72
24,80
76,47
24,78
78,0
99,100
67,45
7,75
84,21
48,33
67,92
91,69
67,58
29,2
88,23
21,64
36,63
29,59
